F0,F1,parental.id,PW1,PW2,PW3,PW4,PW5,PW6,PW7,PW8,PW9,PW10,PW11,PW12,PW13,PW14,PW15,PW16
S,E,12,-0.00082364,-0.011324449,-0.011027634,0.000490242,0.003540378,-0.001503066,-0.017824777,0.001448886,-0.017046046,-0.004294032,0.008690285,-0.001245169,0.011130186,-0.001971732,0.028817263,0.011312266
S,E,12,0.000822629,-0.016598019,-0.007887506,-0.001663393,-0.002132955,-0.006294364,-0.017755812,-0.02138243,0.00252579,0.001357912,-0.001789279,0.00065754,0.001325124,0.003758721,0.014710304,0.003886395
S,E,12,0.00288314,-0.005117389,-0.006911576,0.000611033,0.004445323,-0.002178516,-0.000406176,-0.003742545,-0.01782278,0.002453785,-0.001338356,-0.00618489,0.003266125,-0.011115845,0.001237329,-0.002640914
S,E,12,0.001352413,-0.009418341,-0.006186435,-0.003078433,-0.000647462,-0.003383002,-0.023091521,-0.015157542,-0.001009156,-0.00386662,-0.007651821,-0.00304561,-0.001747253,-0.002634791,0.021343587,-0.005437945
S,E,12,-0.000100458,0.000784958,0.005509843,0.001873968,0.004902892,-0.001130934,0.008921997,0.00324457,-0.015648331,-0.000506719,-0.012998979,0.002122393,0.007137645,0.007036268,0.001833752,-0.007458595
S,E,13,0.018712171,-0.003241044,-0.000181969,4.73E-05,0.010913656,0.004240684,0.011182599,0.008556976,0.005324495,0.00176424,0.003718848,-0.005354532,-0.005154057,0.011467583,0.017780811,0.015235503
S,E,13,0.004256689,0.002929234,0.003280629,0.001184704,0.004404731,0.004023203,0.011269031,0.00919836,-0.005403259,0.002566888,-0.002436335,-0.001260905,-0.0264829,0.011335343,0.014778364,0.007464388
S,E,13,-0.008687561,-0.013353167,-0.016977336,-0.000927125,-0.020603208,0.005209698,-0.034408216,-0.019640228,-0.002718525,-0.001959553,-0.015339043,0.005556754,0.018538016,-0.03220596,0.011086387,-0.001544125
S,E,13,0.002651334,0.0046388,0.0078647,0.000481215,-0.001522134,0.008876876,0.008783216,0.005257273,0.00162461,0.002385318,0.000974907,0.007781562,-0.009426425,-0.001193485,0.007460297,-0.000686289
S,E,13,0.004290868,-0.000498442,0.003182754,0.001386067,-0.000167082,0.005096896,0.010673905,0.00881493,-0.0009147,0.000831733,-0.001197081,-0.004247201,-0.009884926,0.001891516,0.002784352,9.94E-05
S,E,14,0.002092513,0.003595228,0.003464873,0.001506753,-0.007894399,0.010591984,0.018474269,0.01138144,-0.000244793,-0.00267235,-0.005862548,0.00133302,-0.008388024,0.020682462,-0.00245677,-0.000234226
S,E,14,0.004327304,0.002133883,-0.000619362,0.002801233,0.00090913,-1.81E-05,0.016297031,0.00477955,-0.011445134,-0.001524279,-0.001845655,-0.003503541,-0.027158328,-0.001736713,-0.007848459,-0.00090063
S,E,14,0.002529232,0.005822458,0.001468952,-0.001803024,0.003456687,0.000150225,0.014969068,0.007495354,-0.004602152,0.001662051,-0.00760008,-0.004704742,-0.017587358,-0.006061734,-0.004836165,0.013906427
S,E,14,-0.000450513,0.004209551,0.000564273,0.0005389,0.002648378,-0.00071032,0.00929057,0.00248712,-0.018283679,-0.000164742,-0.002314637,-0.000216271,-0.018205902,0.004956833,0.005182791,0.004157795
S,E,14,-0.001577895,0.00210139,0.005022945,0.002139537,0.000862933,0.002848041,0.022181331,0.005911203,0.000608094,-0.002185991,0.000245647,-0.000475196,-0.003469335,-0.015572609,-0.028039172,0.000970389
